
Image Name                     PID Session Name        Session#    Mem Usage
Discord.exe                  15512 Console                    1      9,412 K
Discord.exe                  15516 Console                    1     17,388 K
Discord.exe                  15424 Console                    1     21,420 K
Discord.exe                  17164 Console                    1    208,272 K
AUEPDU.exe                   16424 Services                   0      7,548 K
svchost.exe                  16628 Services                   0     14,392 K
CPUMetricsServer.exe         16604 Console                    1      4,648 K
Discord.exe                  14800 Console                    1     12,900 K
cncmd.exe                    10584 Console                    1      1,532 K
cmd.exe                      16952 Console                    1      3,380 K
conhost.exe                  13616 Console                    1      1,476 K
AMDRSServ.exe                16940 Console                    1     16,948 K
EpicGamesLauncher.exe        16892 Console                    1     23,080 K
EpicWebHelper.exe            12832 Console                    1     13,100 K
EpicWebHelper.exe            14628 Console                    1      8,488 K
iCloudServices.exe           15920 Console                    1     18,536 K
APSDaemon.exe                10560 Console                    1     15,516 K
AltServer.exe                18344 Console                    1     32,252 K
GlobalPresenter.exe           9900 Console                    1     51,852 K
dllhost.exe                   3796 Console                    1      7,068 K
svchost.exe                   7720 Console                    1     15,272 K
svchost.exe                  15828 Console                    1     18,240 K
svchost.exe                  18724 Services                   0     17,396 K
Locator.exe                  18716 Services                   0      2,300 K
WmiApSrv.exe                 19516 Services                   0      5,824 K
LenovoVantageService.exe     20324 Services                   0     34,788 K
LenovoVantage-(VantageCor    19312 Services                   0     12,112 K
AMDRSSrcExt.exe              12092 Console                    1     15,712 K
LenovoVantage-(DeviceSett     9636 Console                    1      7,868 K
LenovoVantage-(GenericMes    19232 Console                    1      8,180 K
LockApp.exe                   3788 Console                    1     26,560 K
RuntimeBroker.exe            11904 Console                    1     22,000 K
dllhost.exe                   4792 Console                    1     27,996 K
UserOOBEBroker.exe            7184 Console                    1      2,300 K
msedgewebview2.exe           16136 Console                    1     18,772 K
msedgewebview2.exe           11684 Console                    1      5,088 K
msedgewebview2.exe           21344 Console                    1     11,044 K
msedgewebview2.exe           16004 Console                    1      8,240 K
msedgewebview2.exe           19448 Console                    1      2,936 K
msedgewebview2.exe           15032 Console                    1      8,200 K
msedge.exe                   20320 Console                    1     50,960 K
msedge.exe                   21408 Console                    1      7,732 K
msedge.exe                   17720 Console                    1     13,496 K
msedge.exe                    4524 Console                    1     20,944 K
msedge.exe                    2344 Console                    1     16,872 K
FileCoAuth.exe               11932 Console                    1     17,520 K
steamwebhelper.exe           21292 Console                    1     10,892 K
OfficeC2RClient.exe           1660 Services                   0      4,964 K
unsecapp.exe                 13452 Console                    1      8,656 K
OfficeClickToRun.exe          9940 Services                   0     35,104 K
AppVShNotify.exe             11836 Console                    1      9,164 K
SearchIndexer.exe             8300 Services                   0     38,448 K
taskhostw.exe                15592 Console                    1      9,076 K
LenovoUtilityService.exe     19936 Services                   0     30,788 K
FnHotkeyCapsLKNumLK.exe      20084 Console                    1     29,140 K
FnHotkeyUtility.exe          14124 Console                    1     47,492 K
svchost.exe                  15572 Services                   0     17,504 K
audiodg.exe                  12340 Services                   0     23,784 K
chrome.exe                   10576 Console                    1    224,148 K
chrome.exe                   21824 Console                    1      8,876 K
chrome.exe                   12040 Console                    1    164,448 K
chrome.exe                    9028 Console                    1     64,316 K
chrome.exe                    9444 Console                    1     22,816 K
chrome.exe                    9308 Console                    1     58,792 K
chrome.exe                    4512 Console                    1    707,084 K
chrome.exe                   15148 Console                    1    105,144 K
chrome.exe                    6812 Console                    1     24,120 K
chrome.exe                    2008 Console                    1     22,880 K
backgroundTaskHost.exe       19724 Console                    1      3,868 K
RuntimeBroker.exe            18360 Console                    1      9,544 K
AltServer.exe                14228 Console                    1     25,020 K
mc-web-view.exe              10564 Console                    1     20,500 K
msedgewebview2.exe            2168 Console                    1    105,156 K
msedgewebview2.exe           14736 Console                    1      8,164 K
msedgewebview2.exe            8764 Console                    1     67,104 K
msedgewebview2.exe           11320 Console                    1     34,532 K
msedgewebview2.exe           21288 Console                    1     17,764 K
msedgewebview2.exe           15976 Console                    1     58,424 K
chrome.exe                   21860 Console                    1     18,436 K
chrome.exe                   21704 Console                    1    136,672 K
chrome.exe                   14360 Console                    1    151,132 K
SearchProtocolHost.exe        8548 Services                   0     21,320 K
SearchFilterHost.exe          5812 Services                   0     12,780 K
